1730419200000,168.69000000,174.00000000,163.43000000,166.10000000,3325662.44700000,1730505599999,557854086.52407000,2057625,1640877.84000000,275304311.27734000,0
1730505600000,166.11000000,168.61000000,162.11000000,166.17000000,1603273.60300000,1730591999999,264909940.27946000,985042,756762.30500000,125181814.03891000,0
1730592000000,166.16000000,166.61000000,157.82000000,162.53000000,2745309.82900000,1730678399999,443630725.97122000,1259979,1290394.65000000,208509927.88514000,0
1730678400000,162.52000000,165.04000000,155.11000000,157.95000000,3019251.32500000,1730764799999,486901138.20844000,1767941,1384419.97200000,223155139.74783000,0
1730764800000,157.95000000,169.30000000,156.86000000,166.62000000,3438156.87100000,1730851199999,563101491.34140000,1606290,1769456.36400000,289945539.78902000,0
1730851200000,166.63000000,190.01000000,166.40000000,186.59000000,10385235.99200000,1730937599999,1909187913.25849000,3093254,5386859.67000000,990267376.12406000,0
1730937600000,186.59000000,197.84000000,185.84000000,196.35000000,4210329.82000000,1731023999999,805298768.52591000,2196009,2119936.26600000,405573003.77894000,0
1731024000000,196.36000000,205.00000000,195.64000000,199.85000000,5129244.18800000,1731110399999,1026696176.73963000,2638632,2660771.09300000,532771925.17719000,0
1731110400000,199.86000000,203.45000000,194.86000000,199.89000000,2833304.99600000,1731196799999,565544974.68205000,1495027,1380679.20600000,275722585.34756000,0
1731196800000,199.89000000,215.27000000,198.68000000,210.07000000,7968628.23000000,1731283199999,1650287820.01631000,3972272,4075874.41200000,844256110.34780000,0
1731283200000,210.07000000,224.00000000,204.16000000,222.13000000,8935306.96800000,1731369599999,1923338631.62358000,4568795,4678282.53200000,1006642368.10271000,0
1731369600000,222.12000000,225.21000000,204.71000000,211.64000000,9001990.65900000,1731455999999,1932232237.82400000,5190083,4263096.31900000,916191349.39010000,0
1731456000000,211.63000000,220.44000000,200.67000000,215.13000000,10834052.79900000,1731542399999,2287313943.88454000,6265437,5276571.13500000,1114450472.96843000,0
1731542400000,215.14000000,222.80000000,206.78000000,209.57000000,7458523.70800000,1731628799999,1606845662.13136000,4182236,3685568.60900000,794800343.72660000,0
1731628800000,209.57000000,220.50000000,204.48000000,218.45000000,5271091.92400000,1731715199999,1117551465.38711000,3372136,2845876.32600000,603910308.00012000,0
1731715200000,218.44000000,221.99000000,213.35000000,215.71000000,4204469.30000000,1731801599999,915510373.45120000,2296856,2212511.85700000,482053182.43167000,0
1731801600000,215.72000000,242.33000000,212.10000000,237.47000000,8433424.20400000,1731887999999,1960587171.68452000,3010544,4311883.06000000,1001610078.17961000,0
1731888000000,237.47000000,248.44000000,234.01000000,239.79000000,7485850.36100000,1731974399999,1804490953.93808000,3957941,3805345.91300000,917583287.88273000,0
1731974400000,239.79000000,247.50000000,233.40000000,237.63000000,5595613.40200000,1732060799999,1350659078.09119000,3110191,2789660.37900000,673737851.39489000,0
1732060800000,237.64000000,242.54000000,230.37000000,235.48000000,5472203.47600000,1732147199999,1289751835.31258000,2032597,2696256.43300000,635454374.29801000,0
1732147200000,235.48000000,259.80000000,229.60000000,256.37000000,8595939.99400000,1732233599999,2120001679.01770000,4031098,4559686.62500000,1124569870.18576000,0
1732233600000,256.38000000,264.39000000,251.47000000,256.90000000,5155181.90500000,1732319999999,1326798359.45141000,2948004,2554624.34700000,657887721.25047000,0
1732320000000,256.90000000,264.00000000,252.69000000,254.89000000,4836783.22700000,1732406399999,1248450578.22800000,2659103,2377510.19700000,613949947.45632000,0
1732406400000,254.90000000,259.78000000,240.93000000,252.73000000,3665245.81200000,1732492799999,918826601.65279000,2627402,1760701.59100000,441700188.21714000,0
1732492800000,252.74000000,256.70000000,231.21000000,234.18000000,4699636.31700000,1732579199999,1149248739.70010000,2322351,2311173.25900000,565768409.86016000,0
1732579200000,234.18000000,239.66000000,221.80000000,230.69000000,5012621.45600000,1732665599999,1157330881.01868000,2836351,2432089.15900000,561972419.62394000,0
1732665600000,230.69000000,243.33000000,227.51000000,241.96000000,3807284.29700000,1732751999999,898274398.45495000,2039178,1999353.20600000,471526006.52351000,0
1732752000000,241.96000000,245.28000000,232.80000000,237.59000000,2694033.06000000,1732838399999,640996914.88985000,1578431,1297609.98500000,308764643.74031000,0
1732838400000,237.58000000,246.77000000,236.55000000,243.33000000,2890806.07900000,1732924799999,699720103.91490000,1929299,1446268.51700000,350171613.67366000,0
1732924800000,243.33000000,245.40000000,237.50000000,237.60000000,2279256.81600000,1733011199999,550410857.76520000,1597288,1121398.04200000,270905744.64534000,0
